experiment,n_estimators,learning_rate,max_depth,subsample,accuracy,weighted_f1,macro_precision,macro_recall,macro_f1
depth4_subsampled,150,0.1,4,0.8,0.5655547906627448,0.5773041340543524,0.4299213144390269,0.5891390361244843,0.4709054331566486
depth5_baseline,100,0.1,5,1.0,0.5489705238125039,0.5605572661536248,0.4119096838388336,0.5459459273984345,0.44813173983801796
depth4_baseline,100,0.1,4,1.0,0.5114838225170536,0.5267310575587534,0.38636819531436384,0.5674330012425882,0.42249467903796195
