model,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1
gradient_boosting,0.4022228897566837,0.37747809480601957,0.4022228897566837,0.37176512444529386,0.24445289305075024,0.17589277388761163,0.1884038359400839
extra_trees,0.3494042254931411,0.3165422312936184,0.3494042254931411,0.3245764145910386,0.19971679389019856,0.15014934211147263,0.15953491115901025
random_forest,0.3580654851306699,0.3231791123121611,0.3580654851306699,0.32864683257870475,0.20996141140638463,0.14914898903875526,0.1583309414397756
logistic_regression,0.3307800140182237,0.30193406146356017,0.3307800140182237,0.29744049989008653,0.19663829051380496,0.13462829341401036,0.14177077705558616
decision_tree,0.23745869630519675,0.2370403344216343,0.23745869630519675,0.23714164730730827,0.11277871478963072,0.11383658176154057,0.11316741152263946
