model,accuracy,precision,recall,f1_score
gradient_boosting,0.4022228897566837,0.37747809480601957,0.4022228897566837,0.37176512444529386
random_forest,0.3580654851306699,0.3231791123121611,0.3580654851306699,0.32864683257870475
extra_trees,0.3494042254931411,0.3165422312936184,0.3494042254931411,0.3245764145910386
logistic_regression,0.3307800140182237,0.30193406146356017,0.3307800140182237,0.29744049989008653
decision_tree,0.23745869630519675,0.2370403344216343,0.23745869630519675,0.23714164730730827
